,revenue,Gross_Profit_ratio,price_to_sales,Market_Capit,Sector
VZ,1.28292E+11,0.600902628,1.856106226,2.38124E+11,Tech
UPWK,373628000,0.720933656,15.49097166,5787860760,Tech
SAP,27338000000,0.711573634,5.78461409,1.5814E+11,Tech
RDFN,886093000,0.261947674,7.602152952,6736214516,Tech
MSFT,1.43015E+11,0.67781002,13.62481977,1.94855E+12,Tech
HP,1773927000,0.057204722,1.564459462,2775236880,Tech
FB,85965000000,0.800628163,10.50801908,9.03322E+11,Tech
