Company,date,Revenue,EBITDA,Net_income,Sector
FOSL,2021-01-02,1613343.0,-92185000.0,-95940000.0,Consumer_Cyclical
FOSL,2020-10-03,176483000.0,64572000.0,39183000.0,Consumer_Cyclical
FOSL,2020-07-04,259009000.0,-26125000.0,-95940000.0,Consumer_Cyclical
FOSL,2020-04-04,390718000.0,-122154000.0,-85581000.0,Consumer_Cyclical
FOSL,2019-12-28,711563000.0,8927000.000000002,-6877000.0,Consumer_Cyclical
GME,2021-01-30,2122100000.0,49100000.0,80500000.0,Consumer_Cyclical
GME,2020-10-31,1004700000.0,-64700000.0,-18800000.0,Consumer_Cyclical
GME,2020-08-01,942000000.0,-65400000.0,80500000.0,Consumer_Cyclical
GME,2020-05-02,1021000000.0,-86500000.0,-165700000.0,Consumer_Cyclical
GME,2020-02-01,2194100000.0,101300000.0,21000000.0,Consumer_Cyclical
HMC,2020-12-31,3771569000000.0,427996000000.0,284051000000.0,Consumer_Cyclical
HMC,2020-09-30,3651369000000.0,427821000000.0,240922000000.0,Consumer_Cyclical
HMC,2020-06-30,2123775000000.0,35728000000.0,284051000000.0,Consumer_Cyclical
HMC,2020-03-31,3458060000000.0,164533000000.0,-29542000000.0,Consumer_Cyclical
HMC,2019-12-31,3747593000000.0,368473000000.0,116432000000.0,Consumer_Cyclical
HP,2020-12-31,246377000.0,106767777.0,-70431.0,Technology
HP,2020-09-30,208267000.0,6724000.0,-58963000.0,Technology
HP,2020-06-30,317364000.0,63871000.0,-70431.0,Technology
HP,2020-03-31,633639000.0,166389000.0,-420540000.0,Technology
HP,2019-12-31,614657000.0,157220000.0,30605000.0,Technology
HSY,2020-12-31,2185244000.0,501311000.0,291387000.0,Consumer_Defensive
HSY,2020-09-27,2219829000.0,637673000.0,447258000.0,Consumer_Defensive
HSY,2020-06-28,1707329000.0,447826000.0,291387000.0,Consumer_Defensive
HSY,2020-03-29,2037317000.0,442321000.0,271137000.0,Consumer_Defensive
HSY,2019-12-31,2068125000.0,467415000.0,207187000.0,Consumer_Defensive
KO,2020-12-31,8611000000.0,2848000000.0,1456000000.0,Consumer_Defensive
KO,2020-09-25,8652000000.0,2656000000.0,1737000000.0,Consumer_Defensive
KO,2020-06-26,7150000000.0,2305000000.0,1456000000.0,Consumer_Defensive
KO,2020-03-27,8601000000.0,3667000000.0,2775000000.0,Consumer_Defensive
KO,2019-12-31,9068000000.0,2667000000.0,2042000000.0,Consumer_Defensive
LEVI,2020-11-29,1385856000.0,128816000.0,56670000.0,Consumer_Cyclical
LEVI,2020-08-23,1063085000.0,126317000.0,27049000.0,Consumer_Cyclical
LEVI,2020-05-24,497542000.0,-413213000.0,56670000.0,Consumer_Cyclical
LEVI,2020-02-23,1506126000.0,214756000.0,152689000.0,Consumer_Cyclical
LEVI,2019-11-24,1568608000.0,165284000.0,95296000.0,Consumer_Cyclical
LULU,2021-01-31,1729549000.0,517977000.0,329837000.0,Consumer_Cyclical
