,HMC,UL,BBY,BLNK,ANTM,KO,CTVA,CVS,EPC,ETSY,EXC,F,FOSL,FMS,GME,CL,HP,SJM,EPC,VFC,SIG,LEVI,LULU,MSFT,TAP,OC,PEP,PFE,RL,RDFN,SAM,SAP,BNS,SIX,SBUX,TGT,TD,CLX,CZR,HSY,VFC,UPWK,VZ,VRTX,FB,WBA,WSFS,SPY
2020-06-02,0.004171406901782415,0.00496414782129051,0.039354838709677376,0.0,0.014375344732487694,-0.0019157088122604415,0.045149253731343375,0.018586227909811015,-0.004995004995005048,0.0413538618144802,0.002574665293511691,0.005110732538330609,0.10256410256410242,0.01760563380281699,0.009661835748792313,-0.004124845318300485,0.07498766650222,-0.0014737754659730484,-0.004995004995005048,0.021518333620244467,0.05018587360594795,0.034033309196234596,0.011883945340327662,0.011702942141528894,0.03501843075302813,-0.002041573867854529,-0.002331002331002363,0.01974055273547637,0.022164276401564598,0.05221358567083478,-0.0016161332255910654,0.01494047155863365,0.019555770159343178,-0.026700041718815237,-0.007020679091141124,-0.0053560967444974406,0.016497175141242826,0.01248714558542674,-0.007839721254355392,0.005276658116526223,0.021518333620244467,0.02127659574468077,0.01093581929006815,-0.0083702884417447,0.0038371992756747186,0.005311778290993274,0.011836441893830818,0.008344786962497519
2020-06-03,0.01963746223564944,0.018843761434321316,0.020856610800744857,0.061741573033707864,-0.017502124044180056,0.02153977393900619,0.01677972152802565,0.00014956625785234046,0.008366800535475338,-0.015029325513196579,0.02491011813045718,0.04915254237288136,0.10755813953488369,-0.0006920415224913601,0.06459330143540676,-0.010769018362556948,0.04130335016062414,-0.006858829657926724,0.008366800535475338,0.07869902258173234,0.26283185840707946,0.07422969187675066,0.03587314794073393,0.0019459459459461037,0.031544136352073204,0.026036823507532114,0.0009044317154054404,0.0,0.08010204081632644,0.04576842781435686,-0.021835520990956314,0.024917580311277998,0.034809377219986004,0.08572653236176597,0.023139220979560227,0.024400504838031134,0.028901734104046284,-0.003820855097697806,0.03160667251975413,-0.02150616023911922,0.07869902258173234,-0.022435897435897578,0.007980138322397634,-0.02533338024700038,-0.011897092299102408,0.001378359751895264,0.039347749025168355,0.013246681595430632
2020-06-04,-0.002592592592592591,0.0005386963548212886,-0.028091937249179133,0.14683316577596717,-0.024247665167762222,0.00041753653444676075,0.059691011235954994,-0.005234036189621816,-0.011616329239960144,-0.004465947152958671,-0.02330243046855429,0.06138933764135701,0.14698162729658804,-0.001615881809787667,0.004494382022471877,-0.013817166782972956,0.10136624063464073,-0.04633272139173006,-0.011616329239960144,0.0010935791282611351,0.0967063770147163,0.006518904823989535,-0.01927710843373498,-0.01300172637030661,0.043403205918619125,0.014863150262824032,-0.01656626506024106,-0.004424778761061843,0.0028341993386866715,0.027334152334152373,-0.046786465921968556,0.004862357869539258,0.0011441647597252302,-0.006316620607974555,-0.01067973363487884,-0.014702258726899453,-0.0006482281763180442,-0.008447832208574146,0.03319148936170224,-0.0058113544926240435,0.0010935791282611351,-0.008196721311475419,0.006685432793807067,-0.015414605970903494,-0.01638702947057291,0.013994035329203847,0.0006821282401090478,-0.002888104449641049
2020-06-05,0.038989974006683914,0.009691313711414296,0.0326576576576576,0.015041063024822332,0.01985182034102606,0.025667779632721155,0.016898608349900757,0.02781118460613352,0.06581598388179977,-0.018566978193146344,0.03540277065161623,0.11796042617960412,0.1990846681922196,0.016184971098266,-0.0738255033557047,0.02476648740447218,0.07362945178071234,-0.015216793473278867,0.06581598388179977,0.06569912609238471,-0.0383386581469648,0.04015544041450769,0.0064260064260064365,0.024870183110139443,0.0018908059560387436,0.04465083050544738,0.013859111791730383,-6.944444444434428e-05,0.053933113518605635,0.04125560538116568,-0.014322916666666519,0.010496538375642128,0.02925714285714287,0.004370282081843424,0.04318008636017279,0.013421140380126761,0.04594594594594592,-0.03251236351172693,0.0049423393739702615,0.015662470023980912,0.06569912609238471,0.02066115702479343,0.009612023767913369,-0.02588545867859504,0.01984179592558233,0.02601809954751122,0.09236537150647561,0.025569368153930183
2020-06-08,0.00393137955682632,0.0047991468183434804,0.014176663031624903,-0.00454545454545463,0.04483993187111124,0.012207527975584886,-0.022808732486151895,0.0319584613134416,0.030875866414618702,-0.028948704926358593,0.03716551040634286,0.023825731790333426,0.5458015267175571,-0.005233219567690628,0.205314009661836,0.01532937439580162,0.05441669772642577,0.03472028297496044,0.030875866414618702,-0.003075120808317622,0.1215946843853819,-0.01245330012453294,-0.013427230046948457,0.005173333333333252,0.023118660061335117,0.02812446572063587,-0.001510459935050168,0.015626085144801793,0.008603351955307259,0.0031581969566465418,-0.012635690080983308,0.0064093119198467274,0.013102376193648624,0.06843354430379756,0.017409301193084925,0.00649831372871601,0.016434108527131785,0.004934460245963779,0.013114754098360715,-7.378440197736147e-05,-0.003075120808317622,-0.010526315789473606,0.004327505625757233,-0.0024841915085818123,0.002773203917150413,0.036604189636163076,0.022152886115444748,0.01246593792088202
2020-06-09,-0.010323958704165137,-0.016451441712365122,-0.02508960573476715,-0.05022831050228305,-0.03200372600552226,-0.014472361809045209,-0.012504168056018727,-0.014669406845723376,-0.027811735941320248,-0.0020920502092051096,-0.03225035833731493,-0.034574468085106336,-0.379,-0.006404391582799707,-0.007014028056112287,-0.0028563656147986283,-0.06539413220219148,-0.02437927311982724,-0.027811735941320248,-0.05331962397179779,-0.16113744075829373,-0.02648171500630514,0.0031407633006568236,0.008489414760969982,-0.037353008992391024,-0.026357362600814893,0.005748430527191539,-0.009026258205689475,-0.05295225434806694,-0.030337721808815,0.035231613441141674,0.0012810189590803933,-0.007452871547566797,-0.025175860792299276,-0.014239559650592315,-0.013403072899640378,-0.015253203172666208,0.01790345730617182,-0.016181229773462702,-0.01468417945690681,-0.05331962397179779,0.0016366612111291534,-0.0020682523267839814,0.021507810731265842,0.031414743755941554,-0.03680068070623266,-0.00030525030525019314,-0.007548337200309341
2020-06-10,0.004676258992805771,0.013669064748201398,0.0009803921568629637,0.1298076923076923,-0.008351376430559831,-0.008362227207831974,-0.01570150261691705,-0.029056386651323263,-0.055014146494812954,0.045728511530398475,-0.01258948407800542,-0.06129476584022031,0.008926263891373853,0.004834254143646355,0.021190716448032276,0.013913517937525599,-0.06505295007564305,0.002581834946980166,-0.055014146494812954,-0.013809154383242817,-0.13276836158192096,-0.04857512953367871,0.022264389626818426,0.035513231967170045,-0.054610778443113794,-0.010760034158838527,0.008723772279461528,-0.008280430582390252,-0.056848754240262034,0.0032467532467532756,-0.018786289567334635,-0.0012793800489818707,-0.010600706713780994,-0.0685529813900494,-0.04090798737557644,-0.0060470510271702915,-0.018380834365964493,0.02562833960023747,-0.023026315789473673,0.014229012206994796,-0.013809154383242817,0.016339869281045694,0.003281519861830784,0.012152777777777679,-0.008420964430851718,-0.022084805653710293,-0.06564885496183204,-0.00561079766840189
2020-06-11,-0.07662012173290367,-0.028743789921930385,-0.05411361410381976,-0.021276595744680993,-0.08314271851389754,-0.06275195392842436,-0.06963979416809596,-0.06251851851851853,-0.06187624750498999,-0.027816063149981196,-0.04862500000000003,-0.09977989728539993,-0.13793103448275867,-0.040778923253150134,-0.13636363636363624,-0.01627875689492797,-0.15776699029126207,-0.022900763358778664,-0.06187624750498999,-0.05899937067337946,-0.09747557003257323,-0.06943498978897211,-0.045586251701522085,-0.052586119296819445,-0.0739802381555612,-0.11187845303867405,-0.04689480354879594,-0.07250208739215136,-0.08235148207863074,-0.055604589585172115,-0.027984041842441854,-0.05153356269672804,-0.06049107142857124,-0.10397553516819558,-0.08150866978863447,-0.016251354279523178,-0.06290763728171689,-0.01123974915581294,-0.05723905723905731,-0.04607546333899437,-0.05899937067337946,-0.08561093247588425,-0.028490273713203673,-0.037589868982883856,-0.05167314517491983,-0.0794941282746161,-0.08006535947712423,-0.057647095702329065
2020-06-12,0.013958898797983732,0.0,-0.002329795495728759,-0.017347826086956397,0.004006804006803977,0.0018872479097631345,0.022492625368731645,0.006795195954488076,-0.014184397163120477,0.008506250805516036,-0.004861384837734906,0.04319478402608001,0.0791085714285713,0.002388344877000348,0.02725400457665894,-0.002803610503282261,0.0691642651296831,-0.01553087349397586,-0.014184397163120477,-0.010198963384049464,0.006947577370747915,-0.019751280175566932,-0.04179061129376638,0.008955864214082565,0.011627906976744207,0.02478615863141531,0.008135168961201478,0.003960990247561913,-0.005406135964319381,-0.021183800623052917,0.009004143673533527,0.0013892104653856485,0.016868614872891374,0.0011376564277587597,0.021772082127601067,-0.005765842087428141,0.02357431522227227,0.0037566473142411905,0.015178571428571486,-0.004025079340506332,-0.010198963384049464,0.020219780219780326,-0.003189510055816469,0.020477039171817646,0.012876364446424704,0.013738959764475034,-0.006394316163410241,0.012174838666755283
2020-06-15,0.00726577437858511,0.005115089514066584,0.03827192527244416,0.05305074996681558,-0.012311283460713196,0.014346730916657613,-0.034258925351604685,-0.006121487992465924,-0.04604316546762599,0.0724600638977635,0.01161869553736472,0.01718749999999991,0.010357755607803165,0.0014295925661187425,0.044752845782005446,-0.0002057189878625909,0.038634321653189474,0.011664595085572271,-0.04604316546762599,0.0662162162162161,0.051075268817204256,0.055223880597014885,0.025161013368532714,0.005049431274582794,0.035564570655848504,0.040121407569003065,0.013112973308504028,-0.002600352691514596,0.0024459845087647647,0.08879694462126042,0.07552623127901215,0.005240847784200531,-0.0009345794392523477,0.07227272727272727,0.03803101820633836,0.006821779934117034,0.0,0.011519393409157308,0.030782761653474155,0.011346856299059738,0.0662162162162161,0.0702283498492029,-0.0016887387787752894,-0.00393890973951172,0.022564870869679288,0.0038722168441431837,0.0,0.009037728408045176
