,HMC,BBY,BLNK,ANTM,KO,CTVA,CVS,LEVI,SAM,EPC,ETSY,EXC,F,FOSL,FMS,GME,CL,HP,SJM,EPC,VFC,SIG,LULU,MSFT,TAP,OC,PEP,PFE,RL,RDFN,SAP,BNS,SIX,SBUX,TGT,TD,CLX,CZR,HSY,VFC,UL,UPWK,VZ,VRTX,FB,WBA,WSFS,SPY
2019-10-11,26.33,69.51,2.42,237.5,53.29,26.66,62.94,17.41,397.19,31.68,59.25,47.5,8.78,11.13,33.17,5.36,70.51,38.35,107.04,31.68,90.88,17.12,201.6,139.61,56.05,61.46,137.59,36.11,93.68,16.45,126.18,56.93,50.32,86.35,111.84,55.88,150.26,11.945,155.24,90.88,59.16,14.3,59.91,172.31,184.11,53.97,42.845,296.26
2019-10-14,26.23,68.71,2.4805,234.82,53.3,26.34,62.99,17.12,390.2,31.08,59.11,47.11,8.82,11.0,32.92,5.58,69.4,37.85,106.9,31.08,90.91,15.47,203.04,139.54,56.24,60.96,137.45,36.3,92.44,16.19,126.08,56.85,49.71,86.62,111.14,55.99,148.71,11.95,155.34,90.91,58.72,14.12,59.59,173.61,183.29,53.66,42.95,296.01
2019-10-15,26.78,67.96,2.4,248.99,53.51,26.7,64.8,17.38,387.7,30.89,60.04,47.06,9.075,10.99,33.68,5.61,68.42,37.7,107.34,30.89,91.53,15.76,203.94,141.57,56.66,62.97,136.3,36.5,93.21,16.7,127.18,57.245,50.55,86.42,111.89,56.33,148.18,12.015,152.54,91.53,58.36,14.22,60.55,176.14,188.83,54.51,43.35,298.9
2019-10-16,26.83,68.41,2.39,245.02,53.49,26.9,65.45,17.63,383.5,31.4,58.55,44.9,9.07,11.42,33.88,5.88,67.87,37.77,107.55,31.4,91.39,15.72,203.07,140.48,56.31,62.61,136.41,36.35,94.34,17.6,128.72,57.36,50.82,86.75,112.18,56.27,148.5,12.01,151.5201,91.39,59.4,14.38,60.31,176.1,189.61,54.66,43.77,298.41
2019-10-17,26.8,69.88,2.32,249.29,53.81,26.78,66.5,17.05,402.58,32.37,60.36,44.06,9.11,11.38,34.14,6.05,68.1,36.67,108.29,32.37,91.57,15.82,205.04,139.67,56.99,62.77,136.98,36.47,95.06,18.09,128.63,57.43,51.03,86.29,113.19,56.25,149.44,12.02,152.76,91.57,59.99,14.77,60.41,177.72,190.4,55.94,43.94,299.24
2019-10-18,26.7,70.54,2.29,249.41,54.78,26.06,66.16,17.1,393.56,32.53,57.61,44.67,9.2957,11.07,34.17,5.94,68.02,36.56,107.63,32.53,92.48,15.28,207.0,137.34,56.99,62.92,136.25,36.46,94.99,18.22,129.13,57.59,51.33,86.0,112.8,56.45,149.7,12.04,153.07,92.48,60.08,14.41,61.05,176.23,185.86,55.28,44.12,297.98
2019-10-21,26.72,71.48,2.37,253.23,54.24,25.5,65.72,17.01,395.22,32.87,58.04,44.71,9.03,11.8,34.24,5.925,68.29,38.43,108.28,32.87,93.42,15.41,205.34,138.43,57.17,63.4,136.13,36.45,96.47,18.32,132.71,57.57,51.9,85.35,113.71,56.81,149.06,12.07,153.56,93.42,59.24,14.52,60.74,183.53,189.75,54.6,44.195,300.05
2019-10-22,26.62,72.41,2.3,260.41,53.87,25.98,66.56,17.59,400.91,34.18,56.85,45.255,9.06,12.34,32.2,6.38,67.07,39.17,106.74,34.18,93.16,16.22,204.49,136.39,59.3,63.42,136.63,36.44,98.6,18.58,131.81,57.415,51.22,83.43,113.17,57.01,148.44,12.11,149.75,93.16,59.16,14.53,60.79,191.06,182.31,55.3,45.38,299.03
2019-10-23,26.69,72.09,2.19,263.51,54.65,25.61,65.5937,17.47,373.38,35.03,56.64,45.66,9.21,12.09,32.71,6.43,67.57,39.2,107.8,35.03,91.5,15.95,205.36,137.25,59.47,61.47,137.43,36.775,97.14,18.47,131.66,57.43,44.88,82.74,111.26,57.06,149.815,12.135,149.76,91.5,59.1,14.81,60.87,190.43,186.17,54.56,43.98,299.86
2019-10-24,26.83,72.12,2.16,259.52,54.62,26.36,64.83,17.0,381.54,35.2,57.75,46.185,8.6,11.12,32.77,6.425,68.34,39.32,108.35,35.2,90.82,15.99,206.84,139.95,58.9,61.67,137.89,36.38,97.12,17.95,131.79,57.45,44.14,83.19,110.2,57.22,150.77,12.17,146.37,90.82,59.74,14.92,60.59,194.47,186.38,54.45,43.28,300.42
2019-10-25,27.05,73.17,2.16,263.0,53.73,26.73,65.07,17.125,375.3,35.1,58.699,45.88,8.72,11.19,32.81,6.33,68.43,40.26,108.29,35.1,84.14,17.25,208.0,140.73,56.85,62.67,136.6,36.76,98.79,17.97,131.86,57.535,43.15,83.34,109.0,57.56,151.4,12.22,143.31,84.14,59.3,14.81,60.335,194.49,187.87,55.43,43.55,301.64
2019-10-28,27.22,74.37,2.228,267.56,53.56,26.765,65.87,17.15,375.04,35.36,57.32,45.61,8.61,11.47,33.13,6.19,67.37,39.66,106.98,35.36,83.45,17.76,205.93,144.2,54.57,63.04,136.56,37.27,97.74,18.28,132.69,57.57,43.49,83.6,109.71,57.57,150.77,12.24,141.15,83.45,58.93,14.73,60.17,193.91,189.46,55.8,43.61,303.36
2019-10-29,27.48,73.92,2.2,272.59,53.41,26.78,65.88,17.35,373.49,35.2,54.44,45.87,8.64,11.56,34.7,5.81,67.91,39.79,108.09,35.2,81.2,17.9,205.57,142.81,54.69,62.09,136.07,38.21,96.11,18.17,131.69,57.66,43.32,84.1,108.13,57.44,149.39,12.25,143.65,81.2,59.24,14.66,60.18,197.82,189.32,56.28,43.48,303.2
2019-10-30,27.42,72.7,2.1796,273.52,53.94,27.52,67.065,17.81,371.46,35.83,52.8,46.66,8.53,10.97,36.03,5.73,68.58,38.09,106.35,35.83,82.32,16.66,205.91,144.56,53.04,61.24,136.89,38.49,96.58,17.81,133.24,57.53,42.71,84.25,107.93,57.15,150.86,12.185,145.98,82.32,60.15,15.15,60.83,199.28,188.18,55.86,42.97,304.14
2019-10-31,26.97,71.8,2.11,269.1,54.43,26.38,66.4,17.83,374.35,35.04,44.48,45.49,8.59,10.89,36.08,5.44,68.57,37.5,105.68,35.04,82.29,16.05,204.24,143.39,52.7351,61.28,137.19,38.4,96.1,17.4,132.58,57.33,42.2,84.56,106.9,57.07,147.73,12.275,146.88,82.29,60.11,15.035,60.48,195.46,191.68,54.79,42.17,303.26
2019-11-01,27.475,72.95,2.13,270.78,53.9,26.17,67.25,17.81,384.01,35.68,45.655,45.33,8.89,11.02,36.64,5.84,66.8,40.185,105.57,35.68,82.91,16.2,200.72,143.72,52.69,62.45,136.9,38.4,98.03,18.24,133.68,57.69,41.54,83.25,107.83,57.34,147.02,12.33,143.07,82.91,59.75,15.21,60.36,201.05,193.69,57.37,42.51,306.18
2019-11-04,27.68,74.81,2.06,271.74,53.14,25.74,68.05,17.11,352.91,36.44,44.74,44.5,9.0,11.77,37.02,5.85,65.4,41.89,106.92,36.44,84.8,16.9,196.465,144.52,53.61,63.41,135.14,38.04,99.05,18.36,134.48,58.0,42.46,82.39,108.78,57.82,146.55,12.39,140.52,84.8,58.97,15.21,59.88,199.47,194.72,59.66,43.3,307.34
2019-11-05,27.81,74.84,2.0777,272.83,52.42,25.65,67.35,17.36,348.49,36.79,43.2262,44.79,9.02,12.93,37.44,5.9,65.96,41.49,107.44,36.79,86.2,17.5,194.44,144.46,54.3851,63.21,134.05,37.495,102.1,18.89,133.58,57.99,43.22,81.88,110.07,57.73,147.83,12.325,140.28,86.2,59.44,15.31,59.5,197.2,194.33,61.21,43.965,307.0
2019-11-06,27.67,75.04,2.02,277.46,52.79,26.125,70.93,17.12,357.3,36.87,42.64,44.83,8.92,12.57,37.45,6.09,66.51,40.5,108.34,36.87,86.13,17.51,200.87,144.06,54.48,63.26,134.42,37.61,100.95,18.55,135.18,58.0,43.89,83.0,110.52,57.82,148.63,12.425,140.83,86.13,60.39,15.07,60.12,195.96,191.54,59.49,44.01,307.14
2019-11-07,27.91,76.02,1.91,279.79,52.3,26.17,71.78,17.53,356.0,37.54,41.86,44.7,8.9,9.91,37.9,6.23,66.87,40.8,107.14,37.54,86.44,17.38,202.85,144.28,53.53,62.54,133.31,36.92,115.63,17.94,135.09,57.99,43.84,81.95,110.6099,57.945,147.01,12.75,141.36,86.44,59.67,12.85,60.52,195.83,190.42,58.62,44.39,308.22
2019-11-08,28.91,76.84,1.82,282.1,52.2,26.2,72.48,17.14,362.37,37.26,41.995,44.715,9.04,8.92,37.61,6.09,66.62,40.77,106.27,37.26,87.05,17.53,204.13,145.96,53.79,62.59,133.09,37.0436,113.8,20.14,136.44,57.83,43.77,81.77,110.17,57.88,148.0,12.72,140.96,87.05,59.96,12.76,59.34,201.37,190.88,59.24,44.46,308.97
2019-11-11,29.2,76.26,1.81,279.19,51.84,26.73,71.78,17.04,358.04,36.34,40.82,44.015,9.08,8.22,37.0,6.015,66.54,41.18,104.41,36.34,86.4,16.82,207.18,146.12,53.31,63.3,132.37,36.92,114.03,20.78,136.78,57.845,44.82,82.44,110.4526,57.99,146.88,12.85,141.74,86.4,59.55,12.31,59.62,201.9,189.6,62.26,44.44,308.39
2019-11-12,29.23,75.19,1.7,283.53,51.71,26.72,72.36,17.0,370.16,33.07,40.8,44.32,9.05,7.87,36.54,5.91,66.65,40.2,105.11,33.07,84.72,16.8,207.81,147.08,52.69,64.5,131.98,36.97,111.39,20.42,135.37,57.71,45.87,83.32,108.35,57.86,145.36,12.795,142.83,84.72,59.12,12.1,59.33,203.84,194.54,62.73,44.64,308.94
2019-11-13,29.275,75.02,1.91,283.74,52.39,25.72,72.82,16.95,366.635,32.22,40.69,44.5,8.815,7.93,36.14,5.95,66.88,39.21,105.76,32.22,85.74,16.73,211.12,147.34,51.96,65.0,133.29,36.6,110.65,20.08,134.29,57.42,45.92,83.96,108.58,57.72,147.29,12.77,145.76,85.74,59.71,11.74,59.41,207.22,193.21,62.27,43.67,309.07
2019-11-14,28.84,75.6,1.82,282.03,52.64,26.36,72.96,17.01,362.93,31.43,41.84,44.63,8.79,7.83,36.05,5.99,66.66,39.33,104.48,31.43,85.84,16.42,213.16,148.06,51.31,64.91,133.35,36.55,111.39,20.34,134.41,57.45,44.89,84.37,111.1,57.62,146.27,12.855,146.32,85.84,59.3,11.98,59.32,205.0,193.12,61.94,43.79,309.53
2019-11-15,29.01,77.1,1.75,297.75,52.67,25.48,74.27,17.2,366.14,30.72,41.9965,45.03,8.96,7.9,36.51,5.88,66.37,40.56,104.95,30.72,86.87,16.98,215.92,149.95,52.52,65.17,133.83,37.27,112.62,20.3,135.45,57.48,44.59,84.22,113.21,58.0,145.3,12.95,145.75,86.87,59.02,11.85,59.5,210.0,195.0895,62.14,43.59,311.83
2019-11-18,28.83,77.29,1.65,294.0,53.01,25.48,75.09,17.06,366.96,30.46,41.99,45.42,8.95,7.31,36.86,5.625,67.11,38.83,105.31,30.46,87.22,17.19,218.5,150.34,51.95,67.16,134.06,37.21,113.39,20.13,135.19,57.75,46.06,84.02,111.96,58.07,145.73,13.05,146.67,87.22,59.14,11.97,59.43,210.02,197.46,61.92,43.28,311.99
2019-11-19,28.74,75.33,1.65,292.72,53.08,25.7,75.35,17.02,377.62,30.54,40.855,45.37,8.91,7.31,37.13,5.5,67.16,38.41,104.14,30.54,86.33,15.97,216.91,150.39,52.41,66.47,134.6,37.65,110.52,20.02,135.75,57.62,45.97,83.66,110.89,58.01,146.46,13.055,147.56,86.33,59.025,11.73,59.5,215.0,199.33,61.46,43.93,311.89
2019-11-20,28.43,74.15,1.77,292.7,53.21,24.98,74.92,16.38,381.5,30.22,40.63,45.35,8.73,7.0,36.59,5.47,67.2,38.39,105.48,30.22,85.54,15.59,216.9516,149.62,52.4,67.22,133.73,37.05,106.9,20.5,134.86,57.29,46.07,83.6,126.46,57.56,146.4,13.05,149.12,85.54,58.79,11.78,59.47,215.22,197.5,61.37,43.9,310.79
2019-11-21,28.44,72.22,1.71,293.74,52.96,25.1,74.95,16.58,384.97,30.38,41.46,44.39,8.71,6.96,36.6,5.5,66.781,38.88,104.22,30.38,84.8,15.66,216.76,149.49,52.55,66.87,133.91,37.74,103.71,20.68,135.48,57.29,45.33,82.28,127.66,58.14,145.05,12.99,146.55,84.8,58.19,11.55,59.6,215.5,197.93,60.6,43.76,310.29
2019-11-22,28.53,72.63,1.64,291.72,53.03,25.54,75.31,17.0,378.35,30.31,41.83,44.44,8.89,7.17,36.78,5.66,66.72,38.99,108.4,30.31,86.51,16.0,219.9,149.63,52.28,67.26,134.07,38.32,107.6,20.08,135.41,56.85,45.55,83.0,127.01,57.96,146.26,13.005,146.84,86.51,58.2,11.24,59.73,218.0,198.88,60.6,43.86,311.0
2019-11-25,28.95,74.27,1.9601,293.89,53.2,25.93,76.59,17.05,381.53,30.92,42.78,44.16,9.0,7.44,36.99,6.04,66.97,39.91,105.83,30.92,86.53,17.09,222.15,151.2247,52.42,66.63,133.81,38.67,108.92,19.97,135.79,56.99,44.97,83.77,125.2,58.29,145.24,13.09,146.09,86.53,58.59,11.67,59.39,223.28,199.75,60.68,44.29,313.35
2019-11-26,28.55,81.53,1.94,287.31,53.88,25.87,74.94,16.83,389.14,31.17,43.37,44.01,9.0,7.28,36.81,6.1,67.79,37.97,107.11,31.17,87.65,17.54,222.96,152.0,51.06,68.44,135.7,38.28,108.48,19.99,135.3,56.59,44.4,84.55,126.91,57.95,148.17,13.08,149.57,87.65,58.96,11.49,59.86,218.94,198.8,59.62,44.36,314.02
2019-11-27,28.71,80.74,1.9,289.48,53.97,26.05,75.05,16.98,390.62,31.57,44.42,44.27,9.095,7.54,36.7,6.34,67.68,40.46,106.06,31.57,89.05,17.75,228.83,152.34,50.74,67.92,135.91,38.64,108.68,19.77,135.41,56.41,43.78,85.74,125.9,57.89,148.97,13.075,148.55,89.05,59.03,11.55,60.11,220.09,202.0,60.14,44.77,315.44
2019-11-29,28.12,80.64,1.87,288.9,53.43,26.0,75.3,16.77,383.54,31.16,43.4,44.4,9.07,7.5,36.66,6.3,67.87,39.54,105.14,31.16,88.52,18.36,225.69,151.38,50.49,67.05,135.86,38.57,107.45,19.25,135.95,56.12,43.5,85.44,125.07,57.79,148.2,13.05,148.19,88.52,59.49,11.64,60.28,221.77,201.66,59.6,44.62,314.27
2019-12-02,28.07,79.1927,1.8,287.49,53.74,25.18,75.58,16.65,372.98,30.48,43.12,43.93,9.01,7.33,36.39,6.165,67.56,39.8,105.72,30.48,88.0,17.42,225.52,149.55,50.67,66.34,135.88,38.3,106.85,18.97,133.49,56.15,42.7,84.58,123.98,57.35,148.94,12.945,148.94,88.0,59.29,11.18,59.98,220.79,199.69,59.28,43.85,311.6
2019-12-03,28.1,78.1,1.79,286.22,53.8,24.65,74.71,16.89,383.91,30.21,42.62,44.24,8.9,7.135,36.31,6.12,67.29,38.4,106.2,30.21,85.96,16.06,223.1,149.32,50.1,65.86,135.445,38.05,105.55,19.35,134.22,55.595,42.76,84.83,124.06,56.95,147.9,12.94,148.8,85.96,59.2,11.28,60.14,221.13,198.83,59.01,43.31,309.47
2019-12-04,28.52,79.19,1.84,287.39,54.28,24.84,75.0,17.0,389.22,31.02,42.16,44.55,8.95,6.87,36.66,6.43,68.08,39.33,106.27,31.02,88.04,16.65,225.47,149.83,51.11,65.39,137.28,38.14,108.73,20.01,135.55,56.22,43.15,85.4,124.47,57.32,150.26,12.93,150.15,88.04,59.525,11.5,60.54,223.95,198.7,58.92,43.53,311.47
2019-12-05,28.66,80.32,1.9198,286.39,54.2,24.82,74.49,17.19,382.54,31.15,41.07,44.85,8.921,7.12,36.58,6.36,67.82,38.64,106.76,31.15,89.21,17.89,230.79,149.92,50.33,66.09,136.34,38.03,112.05,20.56,134.85,56.825,43.82,84.46,124.69,55.4,150.79,12.89,149.95,89.21,59.37,11.48,60.84,223.13,199.37,59.13,43.48,312.04
2019-12-06,29.01,82.05,2.0365,285.28,54.43,25.28,75.36,17.43,381.32,31.69,41.26,44.87,9.01,7.37,35.67,6.65,68.24,40.7,107.29,31.69,90.43,20.56,229.4,151.75,51.06,66.473,137.43,38.29,111.71,21.22,135.03,56.72,44.13,86.33,125.02,55.36,151.87,13.04,149.28,90.43,59.8,11.31,61.19,223.26,201.04,58.64,43.55,314.82
2019-12-09,28.74,82.57,2.135,282.33,54.07,25.79,75.0,17.4,377.52,31.27,41.15,44.94,9.005,7.64,35.9,6.34,68.6,40.73,106.48,31.27,90.84,21.05,230.89,151.36,51.53,65.04,137.15,38.32,113.26,20.78,134.86,56.665,44.08,86.29,126.45,55.12,152.76,12.98,149.53,90.84,60.21,11.15,61.0,219.36,201.33,58.71,43.52,313.87
2019-12-10,28.76,82.86,2.1,283.86,53.77,25.88,73.18,17.97,371.96,31.08,40.52,44.73,9.06,7.51,36.48,6.51,67.91,40.77,106.06,31.08,90.26,20.81,229.66,151.17,51.21,65.07,136.28,38.48,114.03,21.3,134.71,56.37,44.61,86.06,125.75,55.11,152.46,13.015,149.4,90.26,59.97,10.65,61.23,220.27,200.9,58.42,43.43,313.55
2019-12-11,28.86,83.81,2.13,280.54,53.94,26.2,73.35,18.02,377.01,30.82,41.02,44.19,9.11,7.36,36.14,5.53,67.45,41.59,104.41,30.82,91.66,21.41,233.37,151.69,51.17,65.1,137.05,38.22,111.61,21.19,134.9,56.57,45.13,86.59,125.79,55.24,152.16,13.02,149.77,91.66,59.645,10.54,61.08,220.0,202.21,58.0,43.17,314.41
2019-12-12,28.955,85.34,2.135,284.38,54.13,26.99,74.28,18.4,367.72,31.54,41.96,44.08,9.32,7.75,36.38,5.58,67.22,42.61,102.48,31.54,93.37,21.9,224.49,153.23,51.35,65.62,137.18,38.53,115.74,21.25,136.7,56.73,45.76,88.22,127.5,55.66,152.26,13.195,146.81,93.37,59.48,10.41,61.17,220.53,196.67,58.56,43.64,317.14
2019-12-13,29.22,84.79,2.14,284.12,54.43,26.47,73.6,18.95,370.59,31.52,42.29,43.8,9.23,7.55,36.72,5.46,68.695,42.08,101.53,31.52,93.15,20.09,223.52,154.54,50.82,64.57,137.93,38.3,116.92,21.38,138.5,55.96,45.38,88.685,127.21,56.32,151.7,13.18,147.15,93.15,60.94,10.41,60.8,218.93,194.21,57.88,43.23,317.28
2019-12-16,29.35,85.81,2.15,291.83,54.42,27.54,74.4,18.78,375.84,31.99,43.11,44.69,9.39,7.67,36.74,5.5,68.86,42.42,102.62,31.99,94.03,19.8,225.34,155.54,51.95,65.17,137.05,39.15,117.7,21.41,139.36,56.29,46.04,88.76,125.96,56.62,151.59,13.255,146.8,94.03,61.9,10.52,61.23,219.43,197.92,57.785,43.87,319.51
2019-12-17,29.19,86.36,2.13,290.73,54.41,26.78,73.32,19.28,371.09,31.46,43.05,44.99,9.39,7.53,36.08,6.07,67.82,42.93,102.1,31.46,95.02,20.825,223.09,154.79,52.43,65.04,136.13,38.9,117.44,20.53,134.05,56.58,45.99,88.15,128.37,56.75,150.08,13.36,144.71,95.02,56.28,10.65,61.47,217.62,198.38,57.1,44.36,319.56
2019-12-18,29.07,87.04,2.07,293.18,53.92,27.81,73.3,19.86,365.98,30.63,42.33,45.37,9.55,7.82,35.73,6.18,68.27,43.24,103.11,30.63,96.51,21.06,224.32,154.37,52.96,65.71,135.96,38.89,118.98,20.93,133.37,56.13,45.99,87.99,128.09,56.44,149.79,13.39,145.81,96.51,55.92,10.74,60.86,219.35,202.36,57.2,44.34,319.57
2019-12-19,28.96,88.64,2.11,298.23,54.31,27.71,74.11,19.5,367.42,31.12,43.95,44.99,9.4027,7.82,36.14,6.07,68.33,43.39,104.49,31.12,96.88,20.86,224.13,155.71,53.25,65.48,136.46,38.98,117.53,21.13,133.03,55.88,45.89,88.49,128.69,56.08,151.48,13.45,146.68,96.88,56.58,10.68,60.78,217.78,206.06,57.76,44.19,320.91
2019-12-20,28.91,87.69,2.06,303.0,54.97,28.15,74.56,19.88,378.07,31.12,44.02,45.45,9.48,7.69,35.96,5.98,68.85,44.19,103.69,31.12,97.24,20.2,230.24,157.39,53.87,64.99,137.95,39.22,118.44,21.38,134.4,55.98,46.29,88.47,129.16,56.14,152.66,13.43,147.4,97.24,56.75,10.6,62.05,220.78,206.29,58.39,44.38,320.95
2019-12-23,28.82,87.64,2.02,303.25,54.92,28.66,74.4,19.54,372.52,31.01,44.77,45.2,9.435,7.745,36.29,5.62,68.75,45.44,103.35,31.01,98.36,20.91,228.1,157.41,53.05,65.0,137.04,39.32,117.8,21.48,133.77,55.76,45.88,88.22,128.35,55.92,152.37,13.58,146.34,98.36,56.84,10.44,61.41,219.98,206.18,58.55,44.11,321.22
2019-12-24,28.67,87.95,2.02,304.5,54.71,28.8211,74.54,19.63,378.4,31.01,44.68,45.33,9.48,7.63,37.87,5.44,68.56,44.84,103.78,31.01,98.85,20.74,229.02,157.39,53.31,65.28,136.89,39.29,118.3,21.54,133.65,55.79,46.3,88.52,128.46,55.885,152.46,13.59,146.09,98.85,56.71,10.56,61.25,220.52,205.15,58.37,44.11,321.26
2019-12-26,28.78,87.87,2.0,304.76,55.01,29.19,74.5,19.63,384.42,31.03,45.41,45.33,9.45,7.69,37.79,5.41,68.6,45.17,102.65,31.03,99.39,20.59,231.12,158.67,53.6,65.26,136.67,39.38,118.41,21.3,134.58,55.85,45.57,88.08,128.9,55.94,152.93,13.61,146.34,99.39,56.8,10.42,61.3,220.27,207.79,58.89,44.16,322.91
2019-12-27,28.58,87.01,1.94,306.47,55.35,29.12,74.37,19.24,379.1,30.86,44.98,45.41,9.36,7.75,37.4,5.89,69.18,44.42,103.1,30.86,99.96,20.98,230.02,158.95,53.83,65.2,137.54,39.32,117.4,21.2,134.98,56.11,45.69,88.13,129.19,56.07,153.53,13.62,147.62,99.96,57.7,10.42,61.53,221.08,208.1,59.02,43.88,322.86
2019-12-30,28.26,87.58,1.935,305.38,55.28,28.8728,73.71,19.01,379.72,30.61,44.47,45.38,9.255,7.62,36.7,6.125,68.79,45.55,103.14,30.61,99.56,21.56,230.84,157.68,53.78,64.75,136.88,38.92,116.58,21.21,133.38,56.2,45.38,87.43,128.9,55.99,152.88,13.55,146.8,99.56,57.3,10.3,61.21,219.09,204.41,58.91,44.11,321.1
2019-12-31,28.31,87.8,1.85,301.82,55.33,29.56,74.26,19.31,378.36,30.95,44.28,45.58,9.29,7.88,36.84,6.08,68.84,45.42,104.13,30.95,99.68,21.74,231.67,157.49,53.9,65.13,136.62,39.16,117.22,21.14,134.02,56.48,45.09,87.92,128.17,56.13,153.49,13.61,146.95,99.68,57.18,10.66,61.37,218.95,205.09,58.96,44.02,321.89
